route_id,source_id,name_source,city_source,zone_source,facilities_source,destination_id,name_dest,city_dest,zone_dest,facilities_dest,distance_km,avg_speed_kmph,travel_time_hr,ticket_price_inr,train_type,stops,delay_probability,lat_source,lon_source,lat_dest,lon_dest,source,destination,lat_destination,lon_destination
1,1386,Station_1386,City_90,SR,Basic,872,Station_872,City_29,ER,Standard,1975,120,16.46,847.12,Superfast,1,0.19,25.54100108541351,69.99401652032562,13.79717,89.755366,Jaipur,Trivandrum,19.152039003063567,96.18732147046751
417,901,Station_901,City_236,WR,Basic,872,Station_872,City_29,ER,Standard,1411,80,17.64,838.67,Passenger,1,0.07,35.29509547250049,72.74788227002512,13.79717,89.755366,Mysuru,Kanpur,28.69916788151996,81.12947980375907
8562,1499,Station_1499,City_29,NCR,Premium,872,Station_872,City_29,ER,Standard,1177,60,19.62,377.59,Passenger,5,0.04,18.12969485364814,71.73102987150381,13.79717,89.755366,Bhopal,Visakhapatnam,27.617296814840113,76.05770812521968
5916,958,Station_958,City_56,NER,Basic,872,Station_872,City_29,ER,Standard,748,120,6.23,346.99,Superfast,4,0.12,11.437207428968907,89.78209989800635,13.79717,89.755366,Nagpur,Kanpur,27.23799886539154,94.6792991161073
8661,410,Station_410,City_345,NCR,Premium,872,Station_872,City_29,ER,Standard,1908,50,38.16,620.21,Rajdhani,8,0.03,12.741573590584242,84.41304185300854,13.79717,89.755366,Dehradun,Aurangabad,22.636045169207414,93.5703557096164
2735,1386,Station_1386,City_90,SR,Basic,272,Station_272,City_80,WR,Standard,1461,120,12.18,1274.61,Rajdhani,5,0.01,20.950429833959113,70.32498784487588,12.564887,85.917307,Jodhpur,Shillong,29.38849583430789,83.85220515852788
4755,765,Station_765,City_189,WR,Premium,272,Station_272,City_80,WR,Standard,1462,80,18.27,989.57,Rajdhani,8,0.28,19.929536825864634,72.96310709573225,12.564887,85.917307,Indore,Mumbai,20.084213625422244,71.37948980701613
3693,1970,Station_1970,City_156,ER,Standard,272,Station_272,City_80,WR,Standard,1127,100,11.27,554.54,Passenger,0,0.07,8.712726842267573,90.53587600147829,12.564887,85.917307,Kanpur,Jammu,23.89714772387314,84.30072291334857
5353,112,Station_112,City_213,NER,Basic,272,Station_272,City_80,WR,Standard,1648,70,23.54,855.51,Shatabdi,8,0.15,16.96923950905878,76.0258982675461,12.564887,85.917307,Patna,Kanpur,14.598729010944414,93.70023774543795
3262,1386,Station_1386,City_90,SR,Basic,1228,Station_1228,City_344,NCR,Basic,342,70,4.89,326.15,Shatabdi,8,0.17,10.946902039168858,89.81530935417403,11.411874,72.330301,Chennai,Ahmedabad,32.57914960253785,76.39271280656519
