Distance Between Stations (km),Weather Conditions,Time of Day,Train Type,Historical Delay (min),Route Congestion,
235,Rainy,Morning,Express,35,High,
260,Foggy,Afternoon,Superfast,45,Low,
240,Clear,Evening,Local,5,Medium,
265,Rainy,Night,Express,50,High,
245,Foggy,Morning,Superfast,60,Low,
270,Clear,Afternoon,Local,30,Medium,
250,Rainy,Evening,Express,40,High,
275,Foggy,Night,Superfast,55,Low,
255,Clear,Morning,Local,10,Medium,
280,Rainy,Afternoon,Express,45,High,
260,Foggy,Evening,Superfast,50,Low,
285,Clear,Night,Local,20,Medium,
265,Rainy,Morning,Express,35,High,
290,Foggy,Afternoon,Superfast,40,Low,
270,Clear,Evening,Local,15,Medium,
295,Rainy,Night,Express,50,High,
275,Foggy,Morning,Superfast,55,Low,
300,Clear,Afternoon,Local,25,Medium,
280,Rainy,Evening,Express,40,High,
305,Foggy,Night,Superfast,45,Low,
285,Clear,Morning,Local,5,Medium,
310,Rainy,Afternoon,Express,60,High,
290,Foggy,Evening,Superfast,65,Low,
315,Clear,Night,Local,30,Medium,
295,Rainy,Morning,Express,35,High,
320,Foggy,Afternoon,Superfast,40,Low,
300,Clear,Evening,Local,10,Medium,
325,Rainy,Night,Express,45,High,
305,Foggy,Morning,Superfast,50,Low,
330,Clear,Afternoon,Local,15,Medium,
310,Rainy,Evening,Express,55,High,
335,Foggy,Night,Superfast,60,Low,
315,Clear,Morning,Local,20,Medium,
340,Rainy,Afternoon,Express,35,High,
320,Foggy,Evening,Superfast,40,Low,
345,Clear,Night,Local,5,Medium,
270,Clear,Morning,Local,1,Medium,
185,Rainy,Afternoon,Express,7,High,
115,Foggy,Evening,Superfast,12,Low,
220,Clear,Night,Local,0,Medium,
140,Rainy,Morning,Express,6,High,
95,Foggy,Afternoon,Superfast,13,Low,
260,Clear,Evening,Local,2,Medium,
175,Rainy,Night,Express,5,High,
85,Foggy,Morning,Superfast,14,Low,
230,Clear,Afternoon,Local,1,Medium,
160,Rainy,Evening,Express,4,High,
75,Foggy,Night,Superfast,15,Low,
250,Clear,Morning,Local,0,Medium,
130,Rainy,Afternoon,Express,3,High,
65,Foggy,Evening,Superfast,16,Low,
215,Clear,Night,Local,2,Medium,
145,Rainy,Morning,Express,2,High,
55,Foggy,Afternoon,Superfast,17,Low,
235,Clear,Evening,Local,1,Medium,
165,Rainy,Night,Express,1,High,
105,Foggy,Morning,Superfast,18,Low,
225,Clear,Afternoon,Local,0,Medium,
150,Rainy,Evening,Express,2,High,
100,Foggy,Night,Superfast,19,Low,
240,Clear,Morning,Local,1,Medium,
135,Rainy,Afternoon,Express,3,High,
90,Foggy,Evening,Superfast,20,Low,
255,Clear,Night,Local,0,Medium,
170,Rainy,Morning,Express,4,High,
80,Foggy,Afternoon,Superfast,21,Low,
210,Clear,Evening,Local,2,Medium,
120,Rainy,Night,Express,5,High,
70,Foggy,Morning,Superfast,22,Low,
205,Clear,Afternoon,Local,1,Medium,
155,Rainy,Evening,Express,6,High,
60,Foggy,Night,Superfast,23,Low,
275,Clear,Morning,Local,0,Medium,
180,Rainy,Afternoon,Express,7,High,
110,Foggy,Evening,Superfast,24,Low,
265,Clear,Night,Local,2,Medium,
190,Rainy,Morning,Express,8,High,
125,Foggy,Afternoon,Superfast,25,Low,
225,Clear,Evening,Local,1,Medium,
165,Rainy,Night,Express,9,High,
95,Foggy,Morning,Superfast,26,Low,
280,Clear,Afternoon,Local,0,Medium,
200,Rainy,Evening,Express,10,High,
135,Foggy,Night,Superfast,27,Low,
270,Clear,Morning,Local,2,Medium,
175,Rainy,Afternoon,Express,11,High,
85,Foggy,Evening,Superfast,28,Low,
230,Clear,Night,Local,1,Medium,
150,Rainy,Morning,Express,12,High,
75,Foggy,Afternoon,Superfast,29,Low,
255,Clear,Evening,Local,0,Medium,
130,Rainy,Night,Express,13,High,
65,Foggy,Morning,Superfast,30,Low,
215,Clear,Afternoon,Local,2,Medium,
145,Rainy,Evening,Express,14,High,
55,Foggy,Night,Superfast,31,Low,
235,Clear,Morning,Local,1,Medium,
160,Rainy,Afternoon,Express,15,High,
105,Foggy,Evening,Superfast,32,Low,
225,Clear,Night,Local,0,Medium,
175,Rainy,Morning,Express,16,High,
100,Foggy,Afternoon,Superfast,33,Low,
240,Clear,Evening,Local,2,Medium,
185,Rainy,Night,Express,17,High,
90,Foggy,Morning,Superfast,34,Low,
260,Clear,Afternoon,Local,1,Medium,
190,Rainy,Evening,Express,18,High,
115,Foggy,Night,Superfast,35,Low,
250,Clear,Morning,Local,0,Medium,
170,Rainy,Afternoon,Express,19,High,
80,Foggy,Evening,Superfast,36,Low,
230,Clear,Night,Local,2,Medium,
155,Rainy,Morning,Express,20,High,
70,Foggy,Afternoon,Superfast,37,Low,
245,Clear,Evening,Local,1,Medium,
165,Rainy,Night,Express,21,High,
95,Foggy,Morning,Superfast,38,Low,
265,Clear,Afternoon,Local,0,Medium,
180,Rainy,Evening,Express,22,High,
110,Foggy,Night,Superfast,39,Low,
255,Clear,Morning,Local,2,Medium,
140,Rainy,Afternoon,Express,23,High,
85,Foggy,Evening,Superfast,40,Low,
220,Clear,Night,Local,1,Medium,
175,Rainy,Morning,Express,24,High,
